Size,Duration,MC,KC,NC
2048,0.856947,64,256,256
2048,0.859654,64,256,512
2048,0.859255,64,256,1024
2048,0.86307,64,256,2048
2048,0.84889,64,384,64
2048,0.84884,64,384,128
2048,0.846297,64,384,256
2048,0.847102,64,384,512
2048,0.849643,64,384,1024
2048,0.851557,64,384,2048
2048,0.845749,64,512,64
2048,0.8415,64,512,128
2048,0.840859,64,512,256
2048,0.841591,64,512,512
2048,0.842583,64,512,1024
2048,0.842449,64,512,2048
2048,0.785687,80,48,64
2048,0.781916,80,48,128
2048,0.77964,80,48,256
2048,0.7806,80,48,512
2048,0.783857,80,48,1024
2048,0.795889,80,48,2048
2048,0.807873,80,64,64
2048,0.805934,80,64,128
2048,0.805158,80,64,256
2048,0.807191,80,64,512
2048,0.810038,80,64,1024
2048,0.818391,80,64,2048
2048,0.891757,80,128,64
2048,0.889931,80,128,128
2048,0.887891,80,128,256
2048,0.888881,80,128,512
2048,0.892768,80,128,1024
2048,0.900991,80,128,2048
2048,0.83205,80,192,64
2048,0.830295,80,192,128
2048,0.828333,80,192,256
2048,0.829048,80,192,512
2048,0.830913,80,192,1024
2048,0.833032,80,192,2048
2048,0.857482,80,256,64
2048,0.858435,80,256,128
2048,0.856827,80,256,256
2048,0.859936,80,256,512
2048,0.859373,80,256,1024
2048,0.863298,80,256,2048
2048,0.849578,80,384,64
2048,0.848447,80,384,128
2048,0.846949,80,384,256
2048,0.846349,80,384,512
2048,0.849608,80,384,1024
2048,0.85089,80,384,2048
2048,0.845111,80,512,64
2048,0.841913,80,512,128
2048,0.84024,80,512,256
2048,0.841799,80,512,512
2048,0.843514,80,512,1024
2048,0.84319,80,512,2048
