Size: 2048, Duration: 0.678545 seconds (MC=48, KC=256, NC=64)
Size: 2048, Duration: 0.677805 seconds (MC=48, KC=256, NC=128)
Size: 2048, Duration: 0.684215 seconds (MC=48, KC=256, NC=256)
Size: 2048, Duration: 0.693975 seconds (MC=48, KC=256, NC=512)
Size: 2048, Duration: 1.01841 seconds (MC=64, KC=16, NC=32)
Size: 2048, Duration: 0.991578 seconds (MC=64, KC=16, NC=64)
Size: 2048, Duration: 0.981386 seconds (MC=64, KC=16, NC=128)
Size: 2048, Duration: 0.973034 seconds (MC=64, KC=16, NC=256)
Size: 2048, Duration: 0.968395 seconds (MC=64, KC=16, NC=512)
Size: 2048, Duration: 0.864852 seconds (MC=64, KC=32, NC=32)
Size: 2048, Duration: 0.866481 seconds (MC=64, KC=32, NC=64)
Size: 2048, Duration: 0.865519 seconds (MC=64, KC=32, NC=128)
Size: 2048, Duration: 0.863768 seconds (MC=64, KC=32, NC=256)
Size: 2048, Duration: 0.862598 seconds (MC=64, KC=32, NC=512)
Size: 2048, Duration: 0.805019 seconds (MC=64, KC=48, NC=32)
Size: 2048, Duration: 0.799316 seconds (MC=64, KC=48, NC=64)
Size: 2048, Duration: 0.797541 seconds (MC=64, KC=48, NC=128)
Size: 2048, Duration: 0.794683 seconds (MC=64, KC=48, NC=256)
Size: 2048, Duration: 0.791266 seconds (MC=64, KC=48, NC=512)
Size: 2048, Duration: 0.773187 seconds (MC=64, KC=64, NC=32)
Size: 2048, Duration: 0.771351 seconds (MC=64, KC=64, NC=64)
Size: 2048, Duration: 0.767947 seconds (MC=64, KC=64, NC=128)
Size: 2048, Duration: 0.765092 seconds (MC=64, KC=64, NC=256)
Size: 2048, Duration: 0.764873 seconds (MC=64, KC=64, NC=512)
Size: 2048, Duration: 0.76464 seconds (MC=64, KC=128, NC=32)
Size: 2048, Duration: 0.763074 seconds (MC=64, KC=128, NC=64)
Size: 2048, Duration: 0.760425 seconds (MC=64, KC=128, NC=128)
Size: 2048, Duration: 0.757358 seconds (MC=64, KC=128, NC=256)
Size: 2048, Duration: 0.758562 seconds (MC=64, KC=128, NC=512)
Size: 2048, Duration: 0.734745 seconds (MC=64, KC=256, NC=32)
Size: 2048, Duration: 0.731204 seconds (MC=64, KC=256, NC=64)
Size: 2048, Duration: 0.737405 seconds (MC=64, KC=256, NC=128)
Size: 2048, Duration: 0.734934 seconds (MC=64, KC=256, NC=256)
Size: 2048, Duration: 0.748305 seconds (MC=64, KC=256, NC=512)
Size: 2048, Duration: 1.02855 seconds (MC=128, KC=16, NC=32)
Size: 2048, Duration: 0.998405 seconds (MC=128, KC=16, NC=64)
Size: 2048, Duration: 0.984197 seconds (MC=128, KC=16, NC=128)
Size: 2048, Duration: 0.974001 seconds (MC=128, KC=16, NC=256)
Size: 2048, Duration: 0.964002 seconds (MC=128, KC=16, NC=512)
Size: 2048, Duration: 0.870359 seconds (MC=128, KC=32, NC=32)
Size: 2048, Duration: 0.8683 seconds (MC=128, KC=32, NC=64)
Size: 2048, Duration: 0.866355 seconds (MC=128, KC=32, NC=128)
Size: 2048, Duration: 0.863683 seconds (MC=128, KC=32, NC=256)
Size: 2048, Duration: 0.860636 seconds (MC=128, KC=32, NC=512)
Size: 2048, Duration: 0.807495 seconds (MC=128, KC=48, NC=32)
Size: 2048, Duration: 0.805757 seconds (MC=128, KC=48, NC=64)
Size: 2048, Duration: 0.799575 seconds (MC=128, KC=48, NC=128)
Size: 2048, Duration: 0.797083 seconds (MC=128, KC=48, NC=256)
Size: 2048, Duration: 0.792005 seconds (MC=128, KC=48, NC=512)
Size: 2048, Duration: 0.776432 seconds (MC=128, KC=64, NC=32)
Size: 2048, Duration: 0.774332 seconds (MC=128, KC=64, NC=64)
Size: 2048, Duration: 0.769278 seconds (MC=128, KC=64, NC=128)
Size: 2048, Duration: 0.768324 seconds (MC=128, KC=64, NC=256)
Size: 2048, Duration: 0.764693 seconds (MC=128, KC=64, NC=512)
Size: 2048, Duration: 0.764558 seconds (MC=128, KC=128, NC=32)
Size: 2048, Duration: 0.761866 seconds (MC=128, KC=128, NC=64)
Size: 2048, Duration: 0.759503 seconds (MC=128, KC=128, NC=128)
Size: 2048, Duration: 0.755117 seconds (MC=128, KC=128, NC=256)
Size: 2048, Duration: 0.756627 seconds (MC=128, KC=128, NC=512)
Size: 2048, Duration: 0.728344 seconds (MC=128, KC=256, NC=32)
Size: 2048, Duration: 0.730361 seconds (MC=128, KC=256, NC=64)
Size: 2048, Duration: 0.729046 seconds (MC=128, KC=256, NC=128)
Size: 2048, Duration: 0.734825 seconds (MC=128, KC=256, NC=256)
Size: 2048, Duration: 0.741763 seconds (MC=128, KC=256, NC=512)
Size: 2048, Duration: 1.02554 seconds (MC=256, KC=16, NC=32)
Size: 2048, Duration: 0.99335 seconds (MC=256, KC=16, NC=64)
Size: 2048, Duration: 0.979879 seconds (MC=256, KC=16, NC=128)
Size: 2048, Duration: 0.97078 seconds (MC=256, KC=16, NC=256)
Size: 2048, Duration: 0.959675 seconds (MC=256, KC=16, NC=512)
Size: 2048, Duration: 0.87187 seconds (MC=256, KC=32, NC=32)
Size: 2048, Duration: 0.870519 seconds (MC=256, KC=32, NC=64)
Size: 2048, Duration: 0.866988 seconds (MC=256, KC=32, NC=128)
Size: 2048, Duration: 0.864255 seconds (MC=256, KC=32, NC=256)
Size: 2048, Duration: 0.860785 seconds (MC=256, KC=32, NC=512)
Size: 2048, Duration: 0.807406 seconds (MC=256, KC=48, NC=32)
Size: 2048, Duration: 0.804655 seconds (MC=256, KC=48, NC=64)
Size: 2048, Duration: 0.798505 seconds (MC=256, KC=48, NC=128)
Size: 2048, Duration: 0.795124 seconds (MC=256, KC=48, NC=256)
Size: 2048, Duration: 0.790769 seconds (MC=256, KC=48, NC=512)
Size: 2048, Duration: 0.778425 seconds (MC=256, KC=64, NC=32)
Size: 2048, Duration: 0.776999 seconds (MC=256, KC=64, NC=64)
Size: 2048, Duration: 0.784094 seconds (MC=256, KC=64, NC=128)
Size: 2048, Duration: 0.774799 seconds (MC=256, KC=64, NC=256)
Size: 2048, Duration: 0.769139 seconds (MC=256, KC=64, NC=512)
Size: 2048, Duration: 0.785032 seconds (MC=256, KC=128, NC=32)
Size: 2048, Duration: 0.784007 seconds (MC=256, KC=128, NC=64)
Size: 2048, Duration: 0.77817 seconds (MC=256, KC=128, NC=128)
Size: 2048, Duration: 0.789548 seconds (MC=256, KC=128, NC=256)
Size: 2048, Duration: 0.789104 seconds (MC=256, KC=128, NC=512)
Size: 2048, Duration: 0.76598 seconds (MC=256, KC=256, NC=32)
Size: 2048, Duration: 0.762846 seconds (MC=256, KC=256, NC=64)
Size: 2048, Duration: 0.759901 seconds (MC=256, KC=256, NC=128)
Size: 2048, Duration: 0.765978 seconds (MC=256, KC=256, NC=256)
Size: 2048, Duration: 0.771452 seconds (MC=256, KC=256, NC=512)
